id,context,english
ui.legend.claim.contending,"Map legend key, claim-pressure mode: a house holding some but not the most provinces on this body.","[Contending]"
ui.legend.claim.leading,"Map legend key, claim-pressure mode: the house currently leading the claim to this body.","[Leading]"
ui.legend.claim.out,"Map legend key, claim-pressure mode: a house with too few provinces to matter to the claim.","[Out of it]"
ui.legend.military.empty,"Map legend key, military mode: no troops standing in the province.","[Empty]"
ui.legend.military.others,"Map legend key, military mode: troops belonging to someone other than the player.","[Others]"
ui.legend.military.yours,"Map legend key, military mode: the player's own troops.","[Yours]"
ui.legend.my-control.direct,"Map legend key, my-realm mode: provinces the player's house holds itself.","[Held directly]"
ui.legend.my-control.further,"Map legend key, my-realm mode: provinces two or more steps down the chain of vassalage.","[Further down]"
ui.legend.my-control.outside,"Map legend key, my-realm mode: provinces outside the player's realm entirely.","[Not your realm]"
ui.legend.my-control.vassal,"Map legend key, my-realm mode: provinces held one step down the chain of vassalage.","[Through a vassal]"
ui.legend.order.loyal,"Map legend key, order mode: the highest band of provincial order.","[Loyal]"
ui.legend.order.restive,"Map legend key, order mode: low order, not yet in unrest.","[Restive]"
ui.legend.order.settled,"Map legend key, order mode: comfortable provincial order.","[Settled]"
ui.legend.order.unrest,"Map legend key, order mode: the province is in open unrest and counting down to revolt.","[In unrest]"
ui.legend.relations.friendly,"Map legend key, relations mode: the holder thinks well of the player's house.","[Friendly]"
ui.legend.relations.hostile,"Map legend key, relations mode: the holder thinks badly of the player's house.","[Hostile]"
ui.legend.relations.indifferent,"Map legend key, relations mode: the holder has no strong opinion of the player's house.","[Indifferent]"
ui.legend.relations.yours,"Map legend key, relations mode: the player's own holdings, which have no opinion to show.","[Yours]"
ui.legend.wealth.middling,"Map legend key, wealth mode: the middle of the range of provincial output.","[Middling]"
ui.legend.wealth.poor,"Map legend key, wealth mode: the lowest provincial output.","[Poor]"
ui.legend.wealth.rich,"Map legend key, wealth mode: the highest provincial output.","[Rich]"
ui.map-mode.claim.hint.held,"Province hover hint, claim-pressure mode. {holder} is a house name, {held} how many provinces it holds on this body, {total} how many there are.","[{holder} holds {held} of {total} provinces here]"
ui.map-mode.claim.hint.leading,"As ui.map-mode.claim.hint.held, but this house is currently leading the claim to the body.","[{holder} holds {held} of {total} provinces here — currently leading the claim]"
ui.map-mode.claim.hint.unclaimed,"Province hover hint, claim-pressure mode, when nobody holds the province.","[Unclaimed: it counts for nobody's claim]"
ui.map-mode.claim.value.unclaimed,"Value printed on an unheld province in claim-pressure mode. An em dash standing for no count.","[—]"
ui.map-mode.holder.hint.direct,"Province hover hint in the my-realm map mode, when the player's own house holds the province directly.","[Held directly by your house]"
ui.map-mode.holder.hint.held,"Province hover hint in the holder and great-house map modes. {holder} is a house or organisation name.","[Held by {holder}]"
ui.map-mode.holder.hint.lost,"Province hover hint in the holder map mode, when nobody holds the province — it has revolted or was never taken.","[Unclaimed — in revolt or never held]"
ui.map-mode.holder.hint.outside,"Province hover hint in the my-realm map mode, when the province is held outside the player's chain of vassalage. {holder} is a house or organisation name.","[{holder} — outside your realm]"
ui.map-mode.holder.hint.unclaimed,"Province hover hint in the my-realm map mode, when nobody holds the province.","[Unclaimed — answers to nobody]"
ui.map-mode.holder.hint.vassal.one,"Province hover hint when the province is held one step down the player's chain of vassalage. {holder} is a house or organisation name.","[Held by {holder}, 1 step down your chain of vassalage]"
ui.map-mode.holder.hint.vassal.other,"Plural form of ui.map-mode.holder.hint.vassal.one; {hops} is 2 or more.","[Held by {holder}, {hops} steps down your chain of vassalage]"
ui.map-mode.holder.value.direct,"Value printed on the province in the my-realm map mode when the player holds it directly. Kept short — it is drawn on the globe.","[direct]"
ui.map-mode.holder.value.vassal,"Value printed on the province in the my-realm map mode when a vassal holds it. {holder} is a house name. Kept short — it is drawn on the globe.","[via {holder}]"
ui.map-mode.military.hint.empty,"Province hover hint, military mode, when no troops are standing in the province.","[No troops standing here]"
